song,artis,album,viewed,tahun_rilis,genre
Gue Apa Adanya,Dhyo Haw,Ada Aku Disini,8370671,2016,reggae
Go Green,Momonon,Si Aceng,11764761,2015,reggae
Kangen,Tony Q Rastafara,Kurang Tambah (Akustik),8713888,2011,reggae
Kopi Hitam,Momonon,Si Aceng,15846562,2015,reggae
Paris Van Java,Tony Q Rastafara,Salam Damai (Repackaged),10508025,2005,reggae
Serenada,Steven & Coconuttreez,The Other Side,7276651,2005,reggae
Long Time No See,Steven & Coconuttreez,The Other Side,3919085,2005,reggae
Tersenyum Lagi,Steven & Coconuttreez,Easy Going,5569630,2006,reggae
Bidadari,Cozy Republic,Cinta 17-An,1226847,2012,reggae
Bilang I Love You,Souljah,This Is Souljah,35747961,2014,reggae
Sangat Menyenangkan,Steven Jam,Feel the Vibration,8388635,2011,reggae
Trully Kawan,Steven & Coconuttreez,Good Atmosphere,5546961,2008,reggae
Selamat Jalan Kawan,Steven & Coconuttreez,Good Atmosphere,2505444,2008,reggae
Hingga Ku Jenuh,Steven & Coconuttreez,Good Atmosphere,4734568,2008,reggae
PHP,Souljah,This Is Souljah,4602730,2014,reggae
Mars Jangkrik,Souljah,Mestakung,5122931,2009,reggae
